feature,weight
sustained_unique_tracks,0.06148394852474724
unique_tracks,0.06147556802601919
max_week_unique_songs_charting,0.060539929306354504
avg_daily_hhi,0.05944417220634308
average_songs_charting,0.05935843177813429
max_consecutive_days,0.0592388954561518
active_days,0.058625210821115666
total_streams,0.05789950649280941
lead_song_stream_share,0.057654315235436786
median_daily_country_reach,0.05706364076106518
weeks_at_number_1,0.05615793038399214
peak_rank,0.05561571808001552
total_global_top_10_appearances,0.055479303216780566
reentry_7d_count,0.05510384723036135
rank_consistency,0.05457110887038364
avg_rank,0.05082388456436498
median_streams,0.04089779574793142
median_song_half_life_days,0.038566793297993195
