artist,weeks_at_number_1,total_global_number_1_appearances,average_best_weekly_rank,median_best_weekly_rank,max_week_top_10_appearances,average_global_top_10_presence,total_global_top_10_appearances
the weeknd,106,2125,20.529652351738243,7.0,497,58.2719836400818,28495
taylor swift,75,2011,28.6260162601626,15.0,989,44.42886178861789,21859
bruno mars,75,1891,44.24390243902439,33.0,536,35.1280487804878,17283
lady gaga,65,1603,40.23354564755839,29.0,394,29.21656050955414,13761
adele,27,1077,76.39583333333333,75.0,452,9.747685185185185,4211
eminem,33,529,51.0020325203252,45.5,665,15.28048780487805,7518
rihanna,11,183,71.29039301310044,60.0,209,4.77292576419214,2186
michael jackson,7,117,121.64525139664805,137.5,306,5.430167597765363,1944
beyonce,10,74,90.41809290953545,85.0,207,5.212713936430318,2132
the beatles,1,3,138.06545454545454,138.0,13,0.04727272727272727,13
elvis presley,0,0,60.054054054054056,38.0,0,0.0,0
the rolling stones,0,0,132.85714285714286,143.0,0,0.0,0
whitney houston,0,0,113.66919191919192,120.0,20,0.3838383838383838,152
