rank,artist,first_seen,last_seen,active_days,max_consecutive_days,chart_span_days
1,adele,2017-01-01,2026-05-28,2793,1054,3435
2,beyonce,2017-01-01,2026-05-28,2358,379,3435
3,bruno mars,2017-01-01,2026-05-28,3432,1250,3435
4,eminem,2017-01-01,2026-05-28,3418,830,3435
5,lady gaga,2017-01-01,2026-05-28,3193,1548,3435
6,the weeknd,2017-01-01,2026-05-28,3351,1852,3435
7,michael jackson,2017-01-01,2026-05-28,1431,155,3435
8,rihanna,2017-01-01,2026-05-28,3086,812,3435
9,taylor swift,2017-01-01,2026-05-28,3434,1170,3435
10,the beatles,2017-01-01,2026-05-25,922,51,3432
11,whitney houston,2017-01-01,2026-05-24,1663,546,3431
12,elvis presley,2017-02-09,2026-02-14,364,42,3293
13,the rolling stones,2017-01-01,2024-04-09,59,10,2656
