rank,artist,peak_rank,worst_rank,avg_rank,median_rank,rank_std,total_appearances,unique_tracks,top10_appearances,top50_appearances,top10_rate,top50_rate,rank_consistency
1,lady gaga,1,200,93.50544407724564,91.0,59.719348974805904,164307,111,13761,49900,0.0837517573810002,0.30369978150657,0.016469214787117152
2,taylor swift,1,200,95.14075411409443,93.0,58.214193032368456,341752,388,21859,97770,0.06396158617945176,0.2860846461761745,0.016887843079333473
3,michael jackson,1,200,96.16574837557472,93.0,59.66810310335017,26317,40,1944,7365,0.07386860204430597,0.2798571265721777,0.016483126203838384
4,beyonce,1,200,97.37775238095239,94.0,57.857706558168985,52500,127,2132,14746,0.04060952380952381,0.2808761904761905,0.016990128540120764
5,the weeknd,1,200,97.57285488353301,96.0,57.837199921870805,549469,208,28495,148432,0.051859158569455235,0.2701371687938719,0.016996050140521433
6,bruno mars,1,200,98.03340083138188,99.0,60.10218870770843,233587,77,17283,66380,0.07398956277532569,0.2841767735361985,0.016366025851932267
7,elvis presley,12,200,109.26280193236715,106.0,49.68880853994247,5175,17,0,706,0.0,0.13642512077294686,0.019728220662594706
8,whitney houston,2,200,110.72800860051856,110.0,54.461730962672085,15813,14,152,2901,0.009612344273698855,0.18345664959210775,0.01803045059435738
9,adele,1,200,113.09957583091911,120.0,57.284649956532796,81807,55,4211,15059,0.05147481266884252,0.18407960199004975,0.01715717604456361
10,eminem,1,200,116.94610736103779,124.0,55.05265392137671,212144,166,7518,32475,0.03543819292556,0.1530799834074968,0.017840368475731203
11,rihanna,1,200,124.95168820216259,135.0,52.91328625561326,99603,79,2186,11718,0.021947130106522897,0.11764705882352941,0.01854830357138327
12,the rolling stones,16,200,132.19607843137254,141.5,51.5030324260384,204,30,0,17,0.0,0.08333333333333333,0.01904651891124024
13,the beatles,1,200,154.36131386861314,164.0,40.249813572662696,2466,12,13,97,0.0052716950527169504,0.03933495539334955,0.024242533805358228
