artist,median_song_half_life_days,reentry_7d_count,total_unique_songs,sustained_unique_tracks,sustained_hit_rate,median_daily_country_reach,avg_daily_hhi,stream_weighted_rank_std,lead_song_stream_share,peak_decay_ratio
adele,6.0,1343,55,14,0.2545454545454545,6.0,0.5583586013649562,46.77170735620102,0.34806185431717324,14.549899119725143
beyonce,2.0,837,127,38,0.2992125984251969,9.0,0.5631437902993826,39.029786632947086,0.19038302901803905,6.709538589465079
bruno mars,8.0,2953,77,17,0.22077922077922077,30.0,0.43659118603404445,34.82151465889794,0.12851319609179615,2.8877380479427686
elvis presley,1.0,593,17,8,0.47058823529411764,10.0,0.5383225261573713,29.834280545826836,0.8279250829726352,2.3522609550647218
eminem,4.0,2271,166,38,0.2289156626506024,22.0,0.44042034222742965,43.1401839588475,0.18386650841370894,14.483898964161828
lady gaga,2.0,1726,111,33,0.2972972972972973,30.0,0.3674959120262247,36.07428180937819,0.24915969285846087,5.769076305220883
michael jackson,1.5,845,40,20,0.5,3.0,0.6772996669853861,40.08104980910762,0.31609857603420516,2.2856308411214954
rihanna,5.0,2186,79,30,0.379746835443038,14.0,0.5259286061779552,45.61683641780028,0.17185387162500992,10.569163363238056
taylor swift,2.0,3848,388,92,0.23711340206185566,32.0,0.36297293556779514,30.97909616188033,0.09758327982734648,13.966739412072304
the beatles,1.5,240,12,6,0.5,2.0,0.7326325777114086,57.21698072436811,0.5936458145296449,3.820738082304014
the rolling stones,2.0,10,30,14,0.4666666666666667,1.0,0.8812290690634255,48.87261328081638,0.21987510096675028,3.47375744145101
the weeknd,6.0,4787,208,40,0.19230769230769232,57.0,0.41330271712644406,23.674193956771038,0.15912865097205295,6.939760637826455
whitney houston,23.0,448,14,5,0.35714285714285715,4.0,0.5824781884925634,49.73484654793618,0.7022744698329757,4.632582637197229
