rank,artist,total_streams,avg_streams,peak_streams,median_streams
1,the weeknd,49669543308,90396,10043439,8748
2,taylor swift,49210286008,143994,30987370,17355
3,bruno mars,30456787980,130387,14596132,15973
4,lady gaga,15709198872,95609,11621474,12270
5,eminem,14596282853,68804,9187418,8060
6,rihanna,7515936067,75459,7605514,10451
7,adele,6196281222,75743,19749704,10125
8,beyonce,5063127932,96441,7065663,12138
9,michael jackson,3292753321,125119,7207106,16033
10,whitney houston,858831659,54312,2144553,10720
11,elvis presley,769963492,148785,6915919,19543
12,the beatles,88214076,35772,3551063,10461
13,the rolling stones,7389809,36225,722777,15540
