artist,active_weeks,first_active_week,last_active_week,total_streams,average_weekly_streams,median_weekly_streams,peak_weekly_streams,stream_std,average_songs_charting,max_week_unique_songs_charting,best_rank,average_weekly_rank,median_weekly_rank,weeks_with_top_10,weeks_with_top_50,chart_span_weeks
the weeknd,489,2016-12-26/2017-01-01,2026-05-25/2026-05-31,49669543308,101573708,95476501,431141034,74249273,11.32719836400818,53,1,105.60988073612722,109.0,306,437,492
taylor swift,492,2016-12-26/2017-01-01,2026-05-25/2026-05-31,49210286008,100020907,36209584,1540375210,180412131,13.920731707317072,84,1,111.47846056136743,111.0,216,376,492
bruno mars,492,2016-12-26/2017-01-01,2026-05-25/2026-05-31,30456787980,61904041,29018132,446283587,88276034,7.676829268292683,27,1,122.75953493340661,128.0,167,295,492
lady gaga,471,2016-12-26/2017-01-01,2026-05-25/2026-05-31,15709198872,33352864,14946611,281818700,47878391,4.3588110403397025,24,1,116.42015496731852,118.0,136,292,492
eminem,492,2016-12-26/2017-01-01,2026-05-25/2026-05-31,14596282853,29667242,15987096,367806532,39483559,6.798780487804878,31,1,134.69635184210688,144.75,106,261,492
rihanna,458,2016-12-26/2017-01-01,2026-05-25/2026-05-31,7515936067,16410341,9198600,285095242,24922242,5.4126637554585155,33,1,141.90264210476508,152.0,40,198,492
adele,432,2016-12-26/2017-01-01,2026-05-25/2026-05-31,6196281222,14343244,1084984,415794586,37859240,4.662037037037037,27,1,144.91145544942665,149.0,85,182,492
beyonce,409,2016-12-26/2017-01-01,2026-05-25/2026-05-31,5063127932,12379286,1051822,342528515,28910332,2.6381418092909534,27,1,139.8923297973729,155.0,64,137,492
michael jackson,358,2016-12-26/2017-01-01,2026-05-25/2026-05-31,3292753321,9197635,145237,451016694,46451344,1.729050279329609,19,1,159.00277612039312,175.0,23,52,492
whitney houston,396,2016-12-26/2017-01-01,2026-05-18/2026-05-24,858831659,2168767,266298,23757690,4660638,1.4015151515151516,4,2,153.06633871297717,165.0,20,49,491
elvis presley,74,2017-02-06/2017-02-12,2026-02-09/2026-02-15,769963492,10404912,6590868,54535371,12934724,2.2432432432432434,9,12,122.9068577873426,118.25,0,46,471
the beatles,275,2016-12-26/2017-01-01,2026-05-25/2026-05-31,88214076,320778,91397,19017126,1419108,1.0727272727272728,4,1,166.02467909877137,171.0,1,2,492
the rolling stones,28,2016-12-26/2017-01-01,2024-04-08/2024-04-14,7389809,263922,96096,2408523,488806,2.107142857142857,12,16,161.10017617094687,168.0,0,1,381
