artist,week,weekly_best_rank,weekly_number_1_appearances,weekly_top_10_appearances,reached_number_1
adele,2016-12-26/2017-01-01,29,0,0,False
beyonce,2016-12-26/2017-01-01,176,0,0,False
bruno mars,2016-12-26/2017-01-01,1,1,12,True
eminem,2016-12-26/2017-01-01,87,0,0,False
lady gaga,2016-12-26/2017-01-01,51,0,0,False
michael jackson,2016-12-26/2017-01-01,43,0,0,False
rihanna,2016-12-26/2017-01-01,25,0,0,False
taylor swift,2016-12-26/2017-01-01,3,0,19,False
the beatles,2016-12-26/2017-01-01,110,0,0,False
the rolling stones,2016-12-26/2017-01-01,169,0,0,False
the weeknd,2016-12-26/2017-01-01,1,12,56,True
whitney houston,2016-12-26/2017-01-01,95,0,0,False
adele,2017-01-02/2017-01-08,21,0,0,False
beyonce,2017-01-02/2017-01-08,143,0,0,False
bruno mars,2017-01-02/2017-01-08,1,6,58,True
eminem,2017-01-02/2017-01-08,72,0,0,False
lady gaga,2017-01-02/2017-01-08,32,0,0,False
michael jackson,2017-01-02/2017-01-08,67,0,0,False
rihanna,2017-01-02/2017-01-08,23,0,0,False
taylor swift,2017-01-02/2017-01-08,1,6,219,True
the beatles,2017-01-02/2017-01-08,87,0,0,False
the rolling stones,2017-01-02/2017-01-08,185,0,0,False
the weeknd,2017-01-02/2017-01-08,1,54,413,True
whitney houston,2017-01-02/2017-01-08,184,0,0,False
adele,2017-01-09/2017-01-15,21,0,0,False
beyonce,2017-01-09/2017-01-15,146,0,0,False
bruno mars,2017-01-09/2017-01-15,1,7,29,True
eminem,2017-01-09/2017-01-15,77,0,0,False
lady gaga,2017-01-09/2017-01-15,29,0,0,False
michael jackson,2017-01-09/2017-01-15,182,0,0,False
rihanna,2017-01-09/2017-01-15,22,0,0,False
taylor swift,2017-01-09/2017-01-15,2,0,244,False
the beatles,2017-01-09/2017-01-15,162,0,0,False
the weeknd,2017-01-09/2017-01-15,2,0,391,False
whitney houston,2017-01-09/2017-01-15,178,0,0,False
adele,2017-01-16/2017-01-22,23,0,0,False
beyonce,2017-01-16/2017-01-22,114,0,0,False
bruno mars,2017-01-16/2017-01-22,1,9,23,True
eminem,2017-01-16/2017-01-22,82,0,0,False
lady gaga,2017-01-16/2017-01-22,28,0,0,False
michael jackson,2017-01-16/2017-01-22,199,0,0,False
rihanna,2017-01-16/2017-01-22,18,0,0,False
taylor swift,2017-01-16/2017-01-22,2,0,236,False
the beatles,2017-01-16/2017-01-22,151,0,0,False
the weeknd,2017-01-16/2017-01-22,2,0,347,False
whitney houston,2017-01-16/2017-01-22,143,0,0,False
adele,2017-01-23/2017-01-29,25,0,0,False
beyonce,2017-01-23/2017-01-29,84,0,0,False
bruno mars,2017-01-23/2017-01-29,1,8,26,True
eminem,2017-01-23/2017-01-29,86,0,0,False
lady gaga,2017-01-23/2017-01-29,22,0,0,False
michael jackson,2017-01-23/2017-01-29,180,0,0,False
rihanna,2017-01-23/2017-01-29,14,0,0,False
taylor swift,2017-01-23/2017-01-29,2,0,250,False
the beatles,2017-01-23/2017-01-29,166,0,0,False
the weeknd,2017-01-23/2017-01-29,2,0,280,False
whitney houston,2017-01-23/2017-01-29,147,0,0,False
adele,2017-01-30/2017-02-05,26,0,0,False
beyonce,2017-01-30/2017-02-05,72,0,0,False
bruno mars,2017-01-30/2017-02-05,1,7,28,True
eminem,2017-01-30/2017-02-05,6,0,3,False
lady gaga,2017-01-30/2017-02-05,19,0,0,False
rihanna,2017-01-30/2017-02-05,14,0,0,False
taylor swift,2017-01-30/2017-02-05,2,0,253,False
the beatles,2017-01-30/2017-02-05,178,0,0,False
the weeknd,2017-01-30/2017-02-05,2,0,199,False
whitney houston,2017-01-30/2017-02-05,172,0,0,False
adele,2017-02-06/2017-02-12,28,0,0,False
beyonce,2017-02-06/2017-02-12,74,0,0,False
bruno mars,2017-02-06/2017-02-12,1,7,29,True
elvis presley,2017-02-06/2017-02-12,168,0,0,False
eminem,2017-02-06/2017-02-12,8,0,4,False
lady gaga,2017-02-06/2017-02-12,19,0,0,False
michael jackson,2017-02-06/2017-02-12,159,0,0,False
rihanna,2017-02-06/2017-02-12,8,0,3,False
taylor swift,2017-02-06/2017-02-12,2,0,270,False
the beatles,2017-02-06/2017-02-12,191,0,0,False
the weeknd,2017-02-06/2017-02-12,2,0,149,False
whitney houston,2017-02-06/2017-02-12,109,0,0,False
adele,2017-02-13/2017-02-19,18,0,0,False
beyonce,2017-02-13/2017-02-19,49,0,0,False
bruno mars,2017-02-13/2017-02-19,1,1,44,True
eminem,2017-02-13/2017-02-19,21,0,0,False
lady gaga,2017-02-13/2017-02-19,28,0,0,False
michael jackson,2017-02-13/2017-02-19,176,0,0,False
rihanna,2017-02-13/2017-02-19,6,0,7,False
taylor swift,2017-02-13/2017-02-19,2,0,309,False
the beatles,2017-02-13/2017-02-19,193,0,0,False
the weeknd,2017-02-13/2017-02-19,3,0,105,False
