artist,weekly_streams,songs_charting,best_rank,average_rank,median_rank,top_10_songs,top_50_songs,week
adele,3159136.0,8,29,116.91836734693878,107.5,0,1,2016-12-26/2017-01-01
adele,27400768.0,9,21,124.24659231722428,125.0,0,1,2017-01-02/2017-01-08
adele,25786499.0,9,21,126.66851595006935,131.0,0,1,2017-01-09/2017-01-15
adele,24896079.0,8,23,126.02071005917159,131.5,0,1,2017-01-16/2017-01-22
adele,23983997.0,8,25,128.40740740740742,137.5,0,1,2017-01-23/2017-01-29
adele,23264610.0,8,26,130.71475409836066,138.0,0,1,2017-01-30/2017-02-05
adele,22331999.0,9,28,129.1137521222411,136.0,0,1,2017-02-06/2017-02-12
adele,36309370.0,9,18,119.49129989764586,122.0,0,3,2017-02-13/2017-02-19
adele,23955353.0,9,28,128.75564971751413,135.0,0,1,2017-02-20/2017-02-26
adele,21764118.0,9,27,131.08652246256239,137.0,0,1,2017-02-27/2017-03-05
adele,21921048.0,11,22,131.41652021089632,139.0,0,1,2017-03-06/2017-03-12
adele,14866426.0,9,26,139.1822033898305,146.0,0,1,2017-03-13/2017-03-19
adele,9529133.0,19,15,147.95238095238096,160.0,0,4,2017-03-20/2017-03-26
adele,8381252.0,14,18,149.2326203208556,157.0,0,3,2017-03-27/2017-04-02
adele,7512748.0,7,33,153.3404255319149,162.0,0,1,2017-04-03/2017-04-09
adele,6705247.0,7,41,151.1940789473684,157.5,0,1,2017-04-10/2017-04-16
adele,5980892.0,7,57,150.4927536231884,155.0,0,0,2017-04-17/2017-04-23
adele,4109431.0,7,62,152.31674208144796,154.0,0,0,2017-04-24/2017-04-30
adele,1594581.0,7,65,150.66871165644173,156.0,0,0,2017-05-01/2017-05-07
adele,1508798.0,7,69,154.19607843137254,159.0,0,0,2017-05-08/2017-05-14
adele,1062597.0,7,83,157.45689655172413,163.0,0,0,2017-05-15/2017-05-21
adele,873168.0,8,87,158.73529411764707,162.0,0,0,2017-05-22/2017-05-28
adele,868658.0,7,91,161.09803921568627,166.0,0,0,2017-05-29/2017-06-04
adele,584361.0,7,110,164.57647058823528,169.0,0,0,2017-06-05/2017-06-11
adele,512699.0,6,122,169.21052631578948,173.0,0,0,2017-06-12/2017-06-18
adele,475529.0,6,129,174.23611111111111,177.0,0,0,2017-06-19/2017-06-25
adele,1349846.0,7,119,168.47663551401868,174.0,0,0,2017-06-26/2017-07-02
adele,625356.0,6,112,168.95294117647057,173.0,0,0,2017-07-03/2017-07-09
adele,596659.0,7,111,168.3896103896104,173.0,0,0,2017-07-10/2017-07-16
adele,538752.0,8,121,171.953125,172.0,0,0,2017-07-17/2017-07-23
adele,545462.0,9,105,170.1551724137931,171.0,0,0,2017-07-24/2017-07-30
adele,583947.0,8,110,163.55172413793105,166.5,0,0,2017-07-31/2017-08-06
adele,537416.0,8,110,157.61818181818182,157.0,0,0,2017-08-07/2017-08-13
adele,531081.0,6,94,153.50980392156862,155.0,0,0,2017-08-14/2017-08-20
